Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;1;J.F. Kennedy;5028;Triangle;48.086477,-1.660654;2021-03-03T23:13:02+01:00;2021-03-03T23:13:13+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T22:55:07+01:00;2021-03-03T22:55:21+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-04T00:24:47+01:00;2021-03-04T00:25:06+01:00;Applicable
1001;a;1;J.F. Kennedy;5028;Triangle;48.086477,-1.660654;2021-03-03T23:53:32+01:00;2021-03-03T23:53:43+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:08:37+01:00;2021-03-03T23:08:51+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-04T00:29:17+01:00;2021-03-04T00:29:36+01:00;Applicable
1001;a;1;J.F. Kennedy;5028;Triangle;48.086477,-1.660654;2021-03-04T00:17:44+01:00;2021-03-04T00:17:55+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:13:07+01:00;2021-03-03T23:13:21+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T22:34:27+01:00;2021-03-03T22:34:46+01:00;Temps réel
1001;a;1;J.F. Kennedy;5028;Triangle;48.086477,-1.660654;2021-03-04T00:26:44+01:00;2021-03-04T00:26:55+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:22:07+01:00;2021-03-03T23:22:21+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T22:47:31+01:00;2021-03-03T22:47:50+01:00;Applicable
1001;a;1;J.F. Kennedy;5028;Triangle;48.086477,-1.660654;2021-03-04T00:31:14+01:00;2021-03-04T00:31:25+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:26:37+01:00;2021-03-03T23:26:51+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T22:52:01+01:00;2021-03-03T22:52:20+01:00;Applicable
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T22:31:30+01:00;2021-03-03T22:31:41+01:00;Temps réel
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:53:37+01:00;2021-03-03T23:53:51+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T22:56:31+01:00;2021-03-03T22:56:50+01:00;Applicable
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T22:36:00+01:00;2021-03-03T22:36:11+01:00;Temps réel
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-04T00:02:53+01:00;2021-03-04T00:03:07+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T23:32:31+01:00;2021-03-03T23:32:50+01:00;Applicable
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T23:03:00+01:00;2021-03-03T23:03:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-04T00:07:39+01:00;2021-03-04T00:07:53+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T23:41:31+01:00;2021-03-03T23:41:50+01:00;Applicable
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T23:12:00+01:00;2021-03-03T23:12:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-04T00:12:25+01:00;2021-03-04T00:12:39+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T23:55:01+01:00;2021-03-03T23:55:20+01:00;Applicable
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T23:25:30+01:00;2021-03-03T23:25:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-04T00:31:19+01:00;2021-03-04T00:31:33+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-04T00:04:17+01:00;2021-03-04T00:04:36+01:00;Applicable
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T23:34:30+01:00;2021-03-03T23:34:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T22:31:59+01:00;2021-03-03T22:32:14+01:00;Temps réel
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-04T00:09:03+01:00;2021-03-04T00:09:22+01:00;Applicable
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T23:43:30+01:00;2021-03-03T23:43:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T22:36:03+01:00;2021-03-03T22:36:18+01:00;Temps réel
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T22:33:02+01:00;2021-03-03T22:33:16+01:00;Temps réel
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T23:48:00+01:00;2021-03-03T23:48:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T22:54:03+01:00;2021-03-03T22:54:18+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T22:37:07+01:00;2021-03-03T22:37:21+01:00;Temps réel
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T23:52:30+01:00;2021-03-03T23:52:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T23:03:03+01:00;2021-03-03T23:03:18+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T22:46:07+01:00;2021-03-03T22:46:21+01:00;Applicable
1001;a;1;J.F. Kennedy;5029;Le Blosne;48.087765,-1.654439;2021-03-03T23:57:16+01:00;2021-03-03T23:57:27+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T23:07:33+01:00;2021-03-03T23:07:48+01:00;Applicable
